OW modelling,,IW modelling,,Experiment,
X,Y,X,Y,X,Y
590.2020688010315,0.7662328441710304,597.0684837554339,0.4682415301248669,588.6716704438157,0.988918423911097
590.3280700861496,0.7391695299922207,597.3079111305257,0.4963477174086057,589.2582785497162,0.9598285546662302
590.5272548730594,0.7149595755560892,597.51442403285,0.5291031442417605,589.5598562314851,0.9323410069362993
590.7593136843849,0.6911268183428607,597.7335463086424,0.5461053661363701,589.6150178046972,0.9073188865263461
590.8601613508165,0.6701984782451794,598.142291200431,0.5782907188414926,589.8774975252746,0.8835565762477813
590.9753591106173,0.6454019843536275,598.0946238894859,0.5607855197908665,590.0205819023101,0.857266552478611
591.1637020850167,0.6228658773002341,598.8743571199159,0.5397393965473076,590.1553476343701,0.8340420624805964
591.3319204430501,0.5901367407470044,598.7741081744705,0.569940427918457,590.3172590901605,0.8091552157046291
591.5446126063847,0.556254336687696,599.025747083074,0.5101815900217391,590.5271214682051,0.7882652094918361
591.7027157275741,0.5292046053037123,599.0924521783302,0.48807237016436067,590.7636055853579,0.7575976346641649
591.8202620798353,0.5030960663321369,599.2786493356477,0.4699887918664969,590.9657059353589,0.7220136573890894
591.9380885822904,0.4813263534911951,599.4049153626993,0.4470256683811358,592.3806325055205,0.4763968773680676
592.0731351701079,0.4624516170377725,599.5603617005602,0.42376215885286694,592.8880965670559,0.4217136606123829
592.2149185607699,0.44239267637568325,599.7000886109246,0.402002176228487,593.2332528121558,0.3857786551441398
592.3188313727089,0.42371273235434204,599.8461807115714,0.37832742261300567,593.6198264619468,0.35817307524593645
592.5543396333526,0.3967745152425478,600.0578684237693,0.3505337996789841,594.2523383641065,0.3408004014113706
592.8337100760474,0.3708061680972544,600.2627951779504,0.32355027772280986,595.146179169868,0.34590811976035263
593.0875857393748,0.3456890689895621,600.4300759716085,0.29828403754652544,595.5415111151548,0.3635005514114371
593.2289721171904,0.319481391868061,600.7223426615703,0.2741954982034305,595.9517630593484,0.3860512412829683
593.4640346722157,0.29694607023574726,600.7670406250339,0.2541922490653371,596.3120362089203,0.42595863642800347
593.8097464348928,0.2746394260167394,601.051684428215,0.23075474375448257,596.7238429866911,0.47258981132455014
594.2492823257039,0.24824696167900306,601.2544949589579,0.2061696907205628,597.083833184567,0.5081149920776455
594.5619682961798,0.2294935951277226,601.6431283493804,0.18168604250632114,597.46209010893,0.5627450036423067
594.9525856027442,0.2117539303753896,602.0346517720345,0.1539979329077652,597.8734775952437,0.602882402096672
595.5814465253192,0.1905969293547245,602.3740141553749,0.13385093170134055,598.1264849708427,0.6302679707091335
596.3976127548684,0.16851881784181244,602.7814165718803,0.11226956150128586,598.2684557508568,0.6526813869855712
597.3671660546279,0.1478130952756176,603.1076282604283,0.09949205122492577,598.6402991034437,0.67393147958114
598.4902039678017,0.12999046202707887,604.0051744709124,0.07154113527613437,599.13921858406,0.6847648875857628
599.6135502159769,0.11694316711383079,605.1285227565436,0.058525395462018404,599.5461376747783,0.6556980092565249
600.7370390860691,0.10610472913981472,606.2521776792963,0.05025869806725036,599.7488627597119,0.6297896142527619
601.8606756717181,0.09755403585285971,607.3760580319973,0.0454833469978595,599.9659951686974,0.6008994256503863
602.9842755831601,0.08843535078153097,608.4998226863066,0.038916117084908386,600.052119741787,0.5780624022697893
604.1388947428171,0.08488530025639651,609.6238165059001,0.03589808451240972,600.2320471377614,0.5508095937215168
605.2319776389371,0.07797631257488136,610.7479515891066,0.03506787214638796,600.4955330644525,0.5206474759905185
606.3558052360822,0.07238390983154042,611.8720618832657,0.03385373940759484,600.68551691856,0.49526009031017415
607.4797499869447,0.0686059252882818,612.9960499300673,0.03074630072088902,600.8625648374564,0.46737822979245813
608.6036514418682,0.0641573948884715,614.1202009733456,0.03016326996473362,601.1159536842363,0.4347215594045899
609.7276038331906,0.060497741966957674,615.2442297692663,0.027686933260665736,601.3017446237725,0.4103466832173075
610.8516020672721,0.057548078775911504,616.3683808125445,0.027103902504510113,601.521765247854,0.3885018551055811
611.9756053949934,0.054677303332694605,617.4924605448642,0.02541644327873893,601.7249063039462,0.3690358134194882
613.0996240036344,0.05204319113296729,618.6165759326632,0.02428119828777553,602.0081139890478,0.3459679518375144
614.2236731741148,0.049882405420217824,619.5363192070694,0.023545995039842227,602.1991497404316,0.3274503575217329
615.3476272633171,0.04624904841464739,,,602.4534420715875,0.30878640140515745
616.4717256723164,0.04485084426425168,,,602.7670468679975,0.2854204161042637
617.5958003109962,0.04308449729065078,,,603.0974209881074,0.25796823594670004
618.7198545751164,0.041002599325731026,,,603.3149212609787,0.2347753392753823
619.5782072640865,0.03916464850934642,,,603.6959175206204,0.20621123660524565
,,,,603.9306288473451,0.18326104944419308
,,,,604.2665437779934,0.1624818438004466
,,,,604.6663951462323,0.13701122599771254
,,,,604.9280554274922,0.11940078469129545
,,,,605.4171783670998,0.0972207568723662
,,,,605.947802133901,0.08466216062682097
,,,,606.6616044538274,0.060029572790370356
,,,,607.7846348963294,0.04209123751168109
,,,,609.1531629913493,0.02756201810936032
,,,,610.2361884955023,0.023169829733806768
,,,,611.3601205122651,0.01919462582097431
,,,,612.4841442145461,0.01663940136907649
,,,,613.6081933850263,0.01447861565632702
,,,,614.7321916191078,0.011528952465280629
,,,,615.8563375687461,0.010867033961295514
,,,,616.9803816455866,0.00862736050071633
,,,,618.1045275952249,0.007965441996731437
,,,,619.2287142939823,0.007934625475383816
